2026-06-05 11:04:31.829 | 127.0.0.1:52336 | GET http://192.168.1.5:5000/ | Status:200 | Cache:MISS | Size:7553B | Time:40ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:31.854 | 127.0.0.1:52339 | GET http://192.168.1.5:5000/ads/house-rent-popup.js | Status:403 | Cache:MISS | Size:54B | Time:0ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:31.888 | 127.0.0.1:52338 | GET http://192.168.1.5:5000/static/css/app.css | Status:200 | Cache:MISS | Size:27213B | Time:34ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:31.895 | 127.0.0.1:52340 | GET http://192.168.1.5:5000/static/js/app.js | Status:200 | Cache:MISS | Size:2335B | Time:39ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:31.915 | 127.0.0.1:52343 | GET http://192.168.1.5:5000/static/uploads/houses/default-house.svg | Status:200 | Cache:MISS | Size:1089B | Time:36ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:31.975 | 127.0.0.1:52344 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-02.jpg | Status:200 | Cache:MISS | Size:269307B | Time:94ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:32.006 | 127.0.0.1:52355 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-01.jpg | Status:200 | Cache:MISS | Size:131104B | Time:119ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:32.033 | 127.0.0.1:52345 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-06.jpg | Status:200 | Cache:MISS | Size:180371B | Time:151ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:32.063 | 127.0.0.1:52348 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-04.jpg | Status:200 | Cache:MISS | Size:108872B | Time:179ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:32.091 | 127.0.0.1:52349 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-05.jpg | Status:200 | Cache:MISS | Size:143715B | Time:206ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
2026-06-05 11:04:32.121 | 127.0.0.1:52347 | GET http://192.168.1.5:5000/static/uploads/houses/demo-house-03.jpg | Status:200 | Cache:MISS | Size:128527B | Time:238ms | User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0
